seq,uptime_ms,status_flags,legacy_sample,status
16472,1647370,0,,OK
16473,1647470,0,,OK
16474,1647570,0,,OK
16475,1647670,0,,OK
16476,1647770,0,,OK
16477,1647870,0,,OK
16478,1647970,0,,OK
16479,1648070,0,,OK
16480,1648170,0,,OK
16481,1648270,0,,OK
16482,1648370,0,,OK
16483,1648470,0,,OK
16484,1648570,0,,OK
16485,1648670,0,,OK
16486,1648770,0,,OK
16487,1648870,0,,OK
16488,1648970,0,,OK
16489,1649070,0,,OK
16490,1649170,0,,OK
16491,1649270,0,,OK
16492,1649370,0,,OK
16493,1649470,0,,OK
16494,1649570,0,,OK
16495,1649670,0,,OK
16496,1649770,0,,OK
16497,1649870,0,,OK
16498,1649970,0,,OK
16499,1650070,0,,OK
16500,1650170,0,,OK
16501,1650270,0,,OK
16502,1650370,0,,OK
16503,1650470,0,,OK
16504,1650570,0,,OK
16505,1650670,0,,OK
16506,1650770,0,,OK
16507,1650870,0,,OK
16508,1650970,0,,OK
16509,1651070,0,,OK
16510,1651170,0,,OK
16511,1651270,0,,OK
16512,1651370,0,,OK
16513,1651470,0,,OK
16514,1651570,0,,OK
16515,1651670,0,,OK
16516,1651770,0,,OK
16517,1651870,0,,OK
16518,1651970,0,,OK
16519,1652070,0,,OK
16520,1652170,0,,OK
16521,1652270,0,,OK
16522,1652370,0,,OK
16523,1652470,0,,OK
16524,1652570,0,,OK
16525,1652670,0,,OK
16526,1652770,0,,OK
16527,1652870,0,,OK
16528,1652970,0,,OK
16529,1653070,0,,OK
16530,1653170,0,,OK
16531,1653270,0,,OK
16532,1653370,0,,OK
16533,1653470,0,,OK
16534,1653570,0,,OK
16535,1653670,0,,OK
16536,1653770,0,,OK
16537,1653870,0,,OK
16538,1653970,0,,OK
16539,1654070,0,,OK
16540,1654170,0,,OK
16541,1654270,0,,OK
16542,1654370,0,,OK
16543,1654470,0,,OK
16544,1654570,0,,OK
16545,1654670,0,,OK
16546,1654770,0,,OK
16547,1654870,0,,OK
16548,1654970,0,,OK
16549,1655070,0,,OK
16550,1655170,0,,OK
16551,1655270,0,,OK
16552,1655370,0,,OK
16553,1655470,0,,OK
16554,1655570,0,,OK
16555,1655670,0,,OK
16556,1655770,0,,OK
